popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_popular
0,False,0.663,0.992,C,-1.214,minor,0.149,0.176,0.0,0.239,0.546,169.929,4/4,unpopular
27,False,0.839,0.553,G,-6.68,major,0.0634,0.138,0.00166,0.283,0.598,91.504,4/4,unpopular
74,False,0.787,0.603,A,-4.781,major,0.034,0.435,0.0,0.101,0.743,106.984,4/4,popular
35,True,0.717,0.825,G-sharp_A-flat,-5.07,major,0.254,0.399,0.0,0.865,0.66,89.984,4/4,unpopular
41,False,0.506,0.669,E,-5.655,major,0.0346,0.641,0.0,0.11,0.4,149.807,4/4,unpopular
40,False,0.605,0.869,G-sharp_A-flat,-5.103,major,0.0407,0.207,2.43e-06,0.709,0.909,103.107,4/4,unpopular
21,False,0.545,0.349,A-sharp_B-flat,-10.584,major,0.027,0.733,0.0,0.115,0.327,81.112,4/4,unpopular
64,True,0.865,0.562,A-sharp_B-flat,-6.811,minor,0.251,0.0318,0.0,0.246,0.81,85.02,4/4,popular
32,False,0.827,0.476,G-sharp_A-flat,-13.208,major,0.0651,0.624,0.000157,0.0808,0.969,111.102,4/4,unpopular
28,False,0.376,0.843,C,-5.769,major,0.0492,0.0112,5.8e-05,0.122,0.159,124.051,4/4,unpopular
79,False,0.5,0.501,C,-8.284,minor,0.0376,0.462,0.0,0.26,0.623,144.438,4/4,popular
0,False,0.787,0.679,A,-4.913,major,0.0658,0.416,0.0,0.15,0.876,89.996,4/4,unpopular
25,False,0.493,0.973,G-sharp_A-flat,-4.718,major,0.108,6.69e-05,2.87e-05,0.343,0.186,105.001,4/4,unpopular
54,True,0.804,0.521,A-sharp_B-flat,-7.753,major,0.0605,0.534,0.0,0.247,0.648,90.032,4/4,popular
38,False,0.742,0.559,F-sharp_G-flat,-11.468,minor,0.254,0.0146,0.000716,0.0852,0.215,89.972,4/4,unpopular
40,False,0.554,0.65,B,-4.514,minor,0.0298,0.0923,0.0,0.212,0.219,120.014,4/4,unpopular
0,False,0.589,0.695,G-sharp_A-flat,-8.109,major,0.0341,8.65e-05,3.6e-05,0.0778,0.938,129.837,4/4,unpopular
14,False,0.764,0.747,C-sharp_D-flat,-5.058,major,0.0401,0.00569,0.655,0.0784,0.27,129.998,4/4,unpopular
42,False,0.746,0.711,G,-8.219,major,0.184,0.228,0.0,0.133,0.975,90.035,4/4,unpopular
49,False,0.519,0.743,A,-7.7,major,0.122,0.416,0.0,0.0853,0.778,185.842,4/4,unpopular
0,False,0.87,0.572,D-sharp_E-flat,-4.671,major,0.0388,0.687,0.0,0.091,0.697,122.923,4/4,unpopular
13,False,0.799,0.9,F-sharp_G-flat,-7.324,major,0.035,0.000419,0.858,0.0833,0.767,121.006,4/4,unpopular
27,False,0.304,0.944,E,-4.605,major,0.0695,0.000702,0.0,0.0379,0.488,88.939,4/4,unpopular
24,False,0.354,0.998,D,-0.703,major,0.114,8.71e-06,0.000159,0.302,0.322,165.086,4/4,unpopular
0,False,0.534,0.533,F,-6.161,minor,0.047,0.5,0.0,0.0875,0.478,136.854,4/4,unpopular
73,True,0.533,0.638,A-sharp_B-flat,-9.411,major,0.0636,0.0385,0.000932,0.0758,0.324,135.056,4/4,popular
64,False,0.909,0.392,F-sharp_G-flat,-6.221,minor,0.0652,0.278,1.77e-06,0.106,0.61,127.052,4/4,popular
35,False,0.537,0.915,B,-3.116,major,0.237,0.00342,0.0,0.108,0.741,176.076,4/4,unpopular
45,False,0.765,0.428,C,-8.008,major,0.0273,0.709,3.46e-05,0.0949,0.638,97.3,3/4,unpopular
0,True,0.776,0.629,C,-6.09,major,0.0505,0.0268,0.0,0.114,0.104,97.066,4/4,unpopular
67,False,0.748,0.735,G-sharp_A-flat,-8.692,major,0.0903,0.47,1.09e-05,0.0851,0.854,150.04,4/4,popular
